Global_UID,Source,Source_ID,Title,Project_ID,Created_At,Updated_At,Archive_Status,Archive_Link,Topic_Summary,Project_Tag
manus_ZZPhoCC4yKdNo8gaTrVZR9,Manus,ZZPhoCC4yKdNo8gaTrVZR9,Audit Legacy Fact Sheets and Verbatim Preservation Task,Ki9H3UCZSSaUwCR7bn46tv,2026-07-21T21:09:27.868Z,2026-07-29T22:46:20.652Z,Pending,,,
manus_7sro7ujQ8T9rs7zngddhhY,Manus,7sro7ujQ8T9rs7zngddhhY,Ariane - Visual Memory Studio (VMS),,2026-07-18T09:16:47.669Z,2026-07-18T13:34:48.340Z,Pending,,,
manus_gRiC6nzszp5T2KxHS9NxP5,Manus,gRiC6nzszp5T2KxHS9NxP5,Parallel Processing for Public Footprint Intelligence on Yannick Jolliet,Ki9H3UCZSSaUwCR7bn46tv,2026-07-15T01:35:52.014Z,2026-07-29T22:46:11.578Z,Pending,,,
manus_SGz9yWxSdhYvn5FNZ8Npk3,Manus,SGz9yWxSdhYvn5FNZ8Npk3,Digital Archaeology Audit for Yannick Jolliet,Ki9H3UCZSSaUwCR7bn46tv,2026-07-16T11:09:59.725Z,2026-07-29T22:46:14.561Z,Pending,,,
manus_pca1DxvHzKLoQzxN9bAins,Manus,pca1DxvHzKLoQzxN9bAins,ARCH,Ki9H3UCZSSaUwCR7bn46tv,2026-07-12T10:26:58.122Z,2026-07-29T22:46:17.597Z,Pending,,,
manus_oteQiU3FpUwpqBWQPwLu4e,Manus,oteQiU3FpUwpqBWQPwLu4e,[✓] Samsung The Frame — Fixation murale ultra-plate avec tilt et swivel,GeNvwGBvdyBGDN65g2zTEp,2026-05-10T07:31:02.488Z,2026-07-29T22:46:45.584Z,Pending,,,
manus_zrkMu8YuWmC9xCqWONH6sL,Manus,zrkMu8YuWmC9xCqWONH6sL,eYa ,YoYEqM8vWbNajPZ6hor8KR,2026-07-07T21:32:19.026Z,2026-07-10T11:12:10.331Z,Pending,,,
manus_eMEq9eb4Nr7YwGPGMKmBpQ,Manus,eMEq9eb4Nr7YwGPGMKmBpQ,[✓] Klaviyo MCP Connector Test & Campaign Send — API Quirks & Y-OS Learning Gap,9GjP3A95mkVdcWbXKJmQQX,2026-06-15T09:37:19.450Z,2026-07-29T22:32:00.530Z,Pending,,,
manus_B6EzBiet8P6VAkw5ycriH5,Manus,B6EzBiet8P6VAkw5ycriH5,[✓] Setup contrôle total Mac via Manus Desktop Client + audit 666 apps,GeNvwGBvdyBGDN65g2zTEp,2026-05-30T19:22:10.971Z,2026-07-29T22:46:48.558Z,Pending,,,
manus_QJW0U0PT6cStTFTv2ioJs2,Manus,QJW0U0PT6cStTFTv2ioJs2,Comment organiser et nettoyer ce disque efficacement?,GeNvwGBvdyBGDN65g2zTEp,2026-07-05T10:54:26.360Z,2026-07-29T22:46:51.540Z,Pending,,,
manus_jEYwwEDf9c4W8n3Bf0Yvf3,Manus,jEYwwEDf9c4W8n3Bf0Yvf3,"Ajouter un dossier à ""Mon Ordinateur"" dans Manus",Gz25LHGt5xFF4hEghRYUQL,2026-07-05T10:52:10.206Z,2026-07-29T22:45:30.509Z,Pending,,,
manus_XN6cAR8wbtbZc3ysKV8BNX,Manus,XN6cAR8wbtbZc3ysKV8BNX,How to Find Swiss vs. Algeria Soccer Replay/Live?,Gz25LHGt5xFF4hEghRYUQL,2026-07-03T18:48:55.880Z,2026-07-29T22:45:36.509Z,Pending,,,
manus_x9fcuVXGiPyNhmXqLHRr87,Manus,x9fcuVXGiPyNhmXqLHRr87,[✓] Divine Spiritual Library — Trilingual Booklet Series Project Launch,,2025-06-28T11:04:53.082Z,2026-07-02T11:23:20.783Z,Pending,,,
manus_qDA41r2E22chzn2dV42hpk,Manus,qDA41r2E22chzn2dV42hpk,[✓] L'Aube d'une Nouvelle Humanité — Book Scaffold & Interactive Website,,2025-06-30T02:59:19.836Z,2026-07-02T11:22:50.763Z,Pending,,,
manus_heo9JXkytJTp1msL2LWANf,Manus,heo9JXkytJTp1msL2LWANf,[✓] -- yOS FULL STACK --,,2026-06-30T10:08:13.223Z,2026-07-02T12:49:34.252Z,Pending,,,
manus_eiELwVzyYrFZABqmqVeX7R,Manus,eiELwVzyYrFZABqmqVeX7R,[✓] Veille MCP Bimensuelle Y-OS — Rapport 1er Juillet 2026 (TECH-ARCHI),9GjP3A95mkVdcWbXKJmQQX,2026-07-01T07:01:56.275Z,2026-07-29T22:45:51.608Z,Pending,,,
manus_AGFuvlbEKi82FbjOV2Ts4x,Manus,AGFuvlbEKi82FbjOV2Ts4x,[✓] Y-Downloads Shelf — macOS SwiftUI Menu-Bar App for Recent Downloads,,2026-06-30T21:24:57.103Z,2026-07-02T12:48:45.996Z,Pending,,,
manus_wEyFxGCzNcrJmR8kAFqqsq,Manus,wEyFxGCzNcrJmR8kAFqqsq,[✓] CP Core v0.1 — Manus Skill Install & GitHub Canonicalization,,2026-06-29T21:42:27.802Z,2026-07-02T12:50:06.028Z,Pending,,,
manus_3xh8ZnKiLxiULjCs8Ro4ia,Manus,3xh8ZnKiLxiULjCs8Ro4ia,[✓] CP Skill Refactoring: 9-Mode Menu → CP Core v3.0 (3-Function Architecture),,2026-06-29T21:05:24.124Z,2026-07-02T12:50:41.425Z,Pending,,,
manus_92Gv9FHwc98AU87bM8wAgG,Manus,92Gv9FHwc98AU87bM8wAgG,[✓] yOS Continuity Protocol v2 — Portable Cross-LLM Context Transfer Skill & Repo,,2026-06-29T11:12:23.169Z,2026-07-02T12:51:44.530Z,Pending,,,
manus_oePh5BFG4QC8bXVdUcq3J2,Manus,oePh5BFG4QC8bXVdUcq3J2,[✓] Y-OS Logo SVG Generation + Custom Font Exploration,,2026-06-29T17:56:55.366Z,2026-07-02T12:51:10.483Z,Pending,,,
manus_kWRzMkkRNa3ghWcKKmX9fF,Manus,kWRzMkkRNa3ghWcKKmX9fF,[✓] Domain Purchase & Email Setup — Elysium Institute via Spaceship,9Jn9dnhtjDL8ERjyijv5Fj,2026-06-28T08:21:25.664Z,2026-07-02T12:52:13.122Z,Pending,,,
manus_SjsiXUkz10XY44ju9DQ742,Manus,SjsiXUkz10XY44ju9DQ742,[✓] Fractal Content Studio Overview,9Jn9dnhtjDL8ERjyijv5Fj,2026-06-27T23:28:36.818Z,2026-07-02T12:52:55.696Z,Pending,,,
manus_6RqybD5MRkBbnjcbqyaC14,Manus,6RqybD5MRkBbnjcbqyaC14,[✓] Auto-trigger du skill program-os-orchestrator via frontmatter et yos-optimizer,,2026-06-27T18:45:35.780Z,2026-07-02T12:53:24.080Z,Pending,,,
manus_eklT1DKlHdGsa801dBEluy,Manus,eklT1DKlHdGsa801dBEluy,"[✓] Y-WORLD Vault Deployment — Obsidian Setup, Git Sync & Lovable Site Prompt",bL6ZPrH59xoaYXxY8HVdxZ,2026-05-28T18:53:17.578Z,2026-07-02T13:35:21.109Z,Pending,,,
manus_e1go2qvypP9x5K8HiGjzXU,Manus,e1go2qvypP9x5K8HiGjzXU,[✓] LLM Router Skill v1.1 — OpenRouter + Kimi K2.6 + Provider Pricing Strategy,,2026-06-25T16:56:39.190Z,2026-07-02T12:54:23.464Z,Pending,,,
manus_eQ1voW65Thep9mT3ixGnji,Manus,eQ1voW65Thep9mT3ixGnji,[✓] eQ1voW65Thep9mT3ixGnji,,2026-06-23T15:15:38.645Z,2026-07-02T16:08:51.075Z,Pending,,,
manus_52qM9T6a12rsSSx3EYBkbF,Manus,52qM9T6a12rsSSx3EYBkbF,[✓] VISUAL REALITY UI Testing & Mobile UX Optimization,XoXfPkktwg3P67up5FMmKG,2026-02-16T18:52:33.354Z,2026-06-22T21:25:03.507Z,Pending,,,
manus_bdAWgGfyBcP02Jz0FnTW1L,Manus,bdAWgGfyBcP02Jz0FnTW1L,[✓] Y-OS Agent Architecture Completion and Notion Consolidation Strategy,9GjP3A95mkVdcWbXKJmQQX,2026-02-12T22:43:57.805Z,2026-06-22T21:23:40.148Z,Pending,,,
manus_f22TED7JFFC2vvAUmL7mqN,Manus,f22TED7JFFC2vvAUmL7mqN,Create and Deploy Website for Human Awakening Lab Project,,2025-07-12T21:57:41.080Z,2026-06-22T20:40:26.193Z,Pending,,,
manus_nMWjekTM9NdMLWYjGXpipi,Manus,nMWjekTM9NdMLWYjGXpipi,"[✓] Mem0 Integration, Factsheet & AI Libraries Evaluation for Y-OS",,2026-06-15T09:05:56.994Z,2026-07-02T13:19:59.028Z,Pending,,,
manus_MzqGcKCGGQBDk6zFUI03ZP,Manus,MzqGcKCGGQBDk6zFUI03ZP,[✓] Finalizing Multilingual Spiritual Library Platform Launch,,2025-06-30T00:16:29.139Z,2026-06-22T09:08:00.012Z,Pending,,,
manus_rY8HQjxpwSfUnsbxE9Sjtx,Manus,rY8HQjxpwSfUnsbxE9Sjtx,[✓] Build AI-Powered Iris Analysis Web App,,2025-06-26T08:11:06.206Z,2026-06-22T09:07:17.019Z,Pending,,,
manus_rPri3FKxgeu5DMzSmpq3wv,Manus,rPri3FKxgeu5DMzSmpq3wv,[✓] Create and Deploy Multi-Agent LLM Analysis App,,2025-07-10T23:06:18.738Z,2026-06-22T09:06:48.563Z,Pending,,,
manus_NZbpuAwVDdpKRchEzZRRfh,Manus,NZbpuAwVDdpKRchEzZRRfh,[✓] Deploy Unified Planetary Transformation Ecosystem Website,,2025-07-22T20:33:44.224Z,2026-06-22T09:06:44.699Z,Pending,,,
manus_E6RHu1gBwkPCNUSwbstBmM,Manus,E6RHu1gBwkPCNUSwbstBmM,[✓] Human Awakening Lab Website Deployment with Unified Architecture,,2025-07-13T23:18:44.582Z,2026-06-22T09:06:31.366Z,Pending,,,
manus_xikDGBD9MRVmDHNNmD2Wz9,Manus,xikDGBD9MRVmDHNNmD2Wz9," ""FIX"" Collection",,2025-07-23T08:14:44.297Z,2026-06-22T09:06:22.185Z,Pending,,,
manus_mrH2xeyN8aNbrwRammWTWC,Manus,mrH2xeyN8aNbrwRammWTWC,Y-Team,,2026-01-31T23:35:16.063Z,2026-06-22T09:06:13.562Z,Pending,,,
manus_V9LttHiasuvfSnNliR8lmR,Manus,V9LttHiasuvfSnNliR8lmR,Petite Librairie Divine,,2025-06-28T13:53:44.372Z,2026-06-22T09:06:10.797Z,Pending,,,
manus_o79ftBMRD5GyCZoo2wrS6q,Manus,o79ftBMRD5GyCZoo2wrS6q,youniverse,,2025-09-28T01:31:15.065Z,2026-06-22T09:06:09.242Z,Pending,,,
manus_sLXBWULRsu2AqcV8E3JA6v,Manus,sLXBWULRsu2AqcV8E3JA6v,[✓] Creating a Dashboard Showing Global Progress Across Indicators,,2025-07-07T15:18:48.425Z,2026-06-22T09:05:09.468Z,Pending,,,
manus_3nE5qMP5zoSiMkt2QDnTvn,Manus,3nE5qMP5zoSiMkt2QDnTvn,[✓] Project FIX: Interactive Global Challenges Dashboard Creation & Deployment,,2025-08-07T01:21:33.944Z,2026-06-22T09:04:28.289Z,Pending,,,
manus_hTmzKAnEq9yaaNVUdYgmSP,Manus,hTmzKAnEq9yaaNVUdYgmSP,[✓] Création d'un mindmap interactif avec génération IA dynamique,,2025-07-14T18:20:30.187Z,2026-06-22T09:04:23.425Z,Pending,,,
manus_gA3sPuq8Gn3FWc51BYRCgj,Manus,gA3sPuq8Gn3FWc51BYRCgj,[✓] FIX Collection Website Development - Complete Implementation,,2025-07-25T23:28:35.506Z,2026-06-22T09:03:54.307Z,Pending,,,
manus_AMDfUbOQxO5nPO8WEFWXz8,Manus,AMDfUbOQxO5nPO8WEFWXz8,[✓] MDMA-Oneness Journey Program: Full-Stack Web App Development,DeoQgC2KePiJrzHGH5xGYa,2025-12-22T23:36:36.296Z,2026-06-22T09:03:48.579Z,Pending,,,
manus_dKPshpaq2DQx5ttHATz2H9,Manus,dKPshpaq2DQx5ttHATz2H9,[✓] Building AI-Powered Idea2MVP Platform: From Concept to Deployment,,2025-09-22T18:12:19.341Z,2026-06-22T09:03:11.594Z,Pending,,,
manus_09hdTvRb4eCDX8LIaC6QAz,Manus,09hdTvRb4eCDX8LIaC6QAz,[✓] Youniverse App MVP Development - Complete Personal Profile System,,2025-10-06T22:02:57.648Z,2026-06-22T09:02:53.276Z,Pending,,,
manus_qWSRfGwyiBFmcrXZWi1j4G,Manus,qWSRfGwyiBFmcrXZWi1j4G,[✓] 7d LIFE COACHING Web App Development - Full Stack Beta Implementation,,2025-12-08T00:58:24.136Z,2026-06-22T09:02:51.630Z,Pending,,,
manus_txGN7MLRv3qydrSDcxEGHZ,Manus,txGN7MLRv3qydrSDcxEGHZ,[✓] Design and Develop Holistic Health Web App with Testing,,2025-12-08T01:44:50.881Z,2026-06-22T09:02:38.522Z,Pending,,,
manus_8drq1sGM4QANh2AfDCZZeG,Manus,8drq1sGM4QANh2AfDCZZeG,[✓] YOUnuversity.life: Personalized Learning App Project with Replit,,2025-09-25T19:12:44.293Z,2026-06-22T09:02:35.394Z,Pending,,,
manus_tYRM2AHeCWLuGePiuFGTnB,Manus,tYRM2AHeCWLuGePiuFGTnB,[✓] OneShift Interactive Platform - Vision to Prototype Implementation,,2025-11-12T19:42:38.337Z,2026-06-22T09:02:35.047Z,Pending,,,
manus_rfKKRJiJbvAC6sztPHwucP,Manus,rfKKRJiJbvAC6sztPHwucP,[✓] Building KNOWN - Civilisation 3.0 Web App,,2025-12-08T01:02:35.780Z,2026-06-22T09:02:28.801Z,Pending,,,
manus_cxVhUQ3Cu937dAwZd4Vyn5,Manus,cxVhUQ3Cu937dAwZd4Vyn5,[✓] 7d LIFE Coaching App: From Presentation Request to Functional Beta,,2025-12-08T00:59:16.869Z,2026-06-22T09:02:28.656Z,Pending,,,
manus_fGTZmt93YGaceS33StnNDj,Manus,fGTZmt93YGaceS33StnNDj,[✓] Building MeOS 4.0: A Sentient AI Operating System,,2025-10-02T16:46:23.528Z,2026-06-22T09:01:54.514Z,Pending,,,
manus_kjQuMR9gE1QJYse3YPXJrp,Manus,kjQuMR9gE1QJYse3YPXJrp,[✓] Création simulation 3D tiny planet interactive pour Spline,,2025-10-30T12:55:39.525Z,2026-06-22T09:01:38.070Z,Pending,,,
manus_crL8NecCt4HQXVH2kKsQyn,Manus,crL8NecCt4HQXVH2kKsQyn,[✓] Generating Galaxy JSON and Visualizing with Three.js,,2026-03-06T00:16:30.609Z,2026-06-22T09:01:03.827Z,Pending,,,
manus_KuesRWzju8DF2MpZ8TZk2b,Manus,KuesRWzju8DF2MpZ8TZk2b,[✓] GPT-Manus Command Bridge Script Deployment and Configuration,9GjP3A95mkVdcWbXKJmQQX,2026-01-06T02:11:23.273Z,2026-07-29T22:46:54.532Z,Pending,,,
manus_H6cDKy6BNtfZEbb4sz05M4,Manus,H6cDKy6BNtfZEbb4sz05M4,CREATE Y-TEAM,9GjP3A95mkVdcWbXKJmQQX,2026-01-04T04:52:49.586Z,2026-06-22T09:01:00.813Z,Pending,,,
manus_gx5GDGpHTQSJkwPHrED1jr,Manus,gx5GDGpHTQSJkwPHrED1jr,[✓] YOS Agent Ecosystem Creation - Y-Auth & Universal Agent Architecture,,2026-01-16T00:42:54.756Z,2026-06-22T09:00:59.464Z,Pending,,,
manus_aXilUAezi5Oc1XnmShaMGv,Manus,aXilUAezi5Oc1XnmShaMGv,[✓] WHY NOT? Label Video Creation - Autonomous Production with Full Authorization,,2026-01-09T23:20:11.915Z,2026-06-22T09:00:49.873Z,Pending,,,
manus_89c3jrQUzeBPNU13kLjKpw,Manus,89c3jrQUzeBPNU13kLjKpw,[✓] Inner Compass - Full-Stack Spiritual Guidance App Development,NsUBejjCJaeUbbWMxr8dye,2026-01-02T03:36:36.479Z,2026-06-22T08:59:57.734Z,Pending,,,
manus_fEBhZ9H8zf3WDNBwB19qaB,Manus,fEBhZ9H8zf3WDNBwB19qaB,[✓] Y Symbolism Research Project,,2026-02-07T02:08:56.978Z,2026-06-22T08:59:36.939Z,Pending,,,
manus_7udzXMgwAjxz9atq7Vb5ZC,Manus,7udzXMgwAjxz9atq7Vb5ZC,[✓] Defining the Subscription Management Module for Y-Finance-Manager,,2026-01-21T01:28:45.736Z,2026-06-22T08:59:31.686Z,Pending,,,
manus_3WCYm9PhVd4w5CABsYT3Bf,Manus,3WCYm9PhVd4w5CABsYT3Bf,[✓] GPT-Manus API Bridge Integration for Command Execution,,2026-01-06T01:43:47.413Z,2026-06-22T08:59:30.001Z,Pending,,,
manus_dyPjQbFzVGhfjffcdFNBfP,Manus,dyPjQbFzVGhfjffcdFNBfP,[✓] Creating WHY NOT? Video and Website - Full Autonomous Production,,2026-01-09T01:57:00.747Z,2026-06-22T08:59:08.071Z,Pending,,,
manus_jrtiZy3ZJLmME2xF1c9t4G,Manus,jrtiZy3ZJLmME2xF1c9t4G,[✓] yOS Voice Layer Architecture & AI Voice Interface Development,,2026-02-05T08:12:19.311Z,2026-06-22T08:58:54.056Z,Pending,,,
manus_5iWHB8OeHlM2EjzOQmHW1c,Manus,5iWHB8OeHlM2EjzOQmHW1c,[✓] Automating GPT-Manus Command Bridge with MCP Server Exposure,,2026-01-06T00:52:30.451Z,2026-06-22T08:58:18.833Z,Pending,,,
manus_qfcMk89BKWHHWcZI7tbfYM,Manus,qfcMk89BKWHHWcZI7tbfYM,[✓] Create Complete MAGIC AI YouTube Channel with Full Automation,TgKTXckuquNUhNTpf6cTbh,2026-01-14T16:07:40.776Z,2026-06-22T08:57:43.067Z,Pending,,,
manus_4hoodEfFuN4sj63qQ9j51v,Manus,4hoodEfFuN4sj63qQ9j51v,[✓] yOS Knowledge Compilation & Dashboard UI/UX Redesign,,2026-02-13T17:37:22.223Z,2026-06-22T08:57:35.010Z,Pending,,,
manus_jrhRzGgvrCzLtezdHXURnC,Manus,jrhRzGgvrCzLtezdHXURnC,[✓] AI Book Cover Creator - Design App Development for Weavy Platform,,2026-01-19T02:04:30.112Z,2026-06-22T08:57:28.961Z,Pending,,,
manus_ihVrHa2NaZoi63XZL4WLTP,Manus,ihVrHa2NaZoi63XZL4WLTP,[✓] Ludivine Website Integration Project — Content Structure & Design Rollback,,2026-02-09T00:40:40.635Z,2026-06-22T08:57:11.209Z,Pending,,,
manus_j9gcq6rrnWoxJ5EVE4mc8y,Manus,j9gcq6rrnWoxJ5EVE4mc8y,[✓] YOS Manus Language v1.2: Transcript Tag System Implementation,,2026-02-09T01:18:36.331Z,2026-06-22T08:56:44.080Z,Pending,,,
manus_sVUnGFiX7EYxQB47zcdsEA,Manus,sVUnGFiX7EYxQB47zcdsEA,[✓] yOS Tree View UI Complete Implementation with Mobile Interface,,2026-02-15T18:30:27.731Z,2026-06-22T08:56:39.292Z,Pending,,,
manus_tk3pPkma9hD2byUeETthw7,Manus,tk3pPkma9hD2byUeETthw7,[✓] Projet ONE - Domain Name Research and O-N-E.space Registration,,2026-02-11T04:41:13.811Z,2026-06-22T08:56:37.332Z,Pending,,,
manus_eHanjUt8wZNCYT7KUCRuPP,Manus,eHanjUt8wZNCYT7KUCRuPP,"Organiser sessions manus avec projets, tags ou dossiers",,2026-02-15T19:10:48.031Z,2026-06-22T08:56:31.515Z,Pending,,,
manus_sPJencQQVwgbZqa6NDVk1n,Manus,sPJencQQVwgbZqa6NDVk1n,[✓] Knowledge Management Tree System with Local State Management,,2026-02-11T12:08:37.967Z,2026-06-22T08:56:04.132Z,Pending,,,
manus_yaHv8nzYxZqi4yh9dN7r7x,Manus,yaHv8nzYxZqi4yh9dN7r7x,[✓] yOS Dashboard Complete UI/UX Redesign - Glassmorphism Control Center,,2026-02-16T00:29:36.484Z,2026-06-22T08:55:55.471Z,Pending,,,
manus_bVnzm2DJSL4MRBcOR3p4um,Manus,bVnzm2DJSL4MRBcOR3p4um,[✓] YOS LLM Router Skill Architecture Design Session,,2026-02-08T15:16:33.720Z,2026-06-22T08:55:41.699Z,Pending,,,
manus_pg6ZnyWM2ietp9foDzh2qz,Manus,pg6ZnyWM2ietp9foDzh2qz,[✓] Archiver Agent for Task Management with Batch Operations,,2026-02-15T17:37:08.414Z,2026-06-22T08:55:26.908Z,Pending,,,
manus_ZOVkLz9Rx8vghg6lnFLuoG,Manus,ZOVkLz9Rx8vghg6lnFLuoG,[✓] Création de Site Web Original et Interactif avec EYA,YoYEqM8vWbNajPZ6hor8KR,2026-02-17T22:15:33.166Z,2026-07-09T21:01:08.866Z,Pending,,,
manus_VCFUH6ISMGhAFXSqdqhYfm,Manus,VCFUH6ISMGhAFXSqdqhYfm,[✓] yOS Core Architecture Definition & Telegram Voice Bot Planning,,2026-02-22T19:34:46.202Z,2026-06-22T08:55:16.662Z,Pending,,,
manus_zb8XEuBqIgru6vDYFMqFnd,Manus,zb8XEuBqIgru6vDYFMqFnd,[✓] Design of Intelligent LLM Router Skill for Optimal Model Selection,,2026-02-08T15:47:50.850Z,2026-06-22T08:55:04.176Z,Pending,,,
manus_n4NbfAoYYvq2FobfPv9qTW,Manus,n4NbfAoYYvq2FobfPv9qTW,[✓] YOUniverse Project Introduction & Gmail Processing Architecture,,2026-02-27T09:18:31.668Z,2026-06-22T08:54:17.889Z,Pending,,,
manus_Q7TUpL9KFuEgH6RhHpw3h3,Manus,Q7TUpL9KFuEgH6RhHpw3h3,[✓] Gmail Receipt Processing - Access Method Discussion,,2026-02-15T18:02:37.235Z,2026-06-22T08:53:47.083Z,Pending,,,
manus_3wBmMTpwM55vGjWxrmsSEP,Manus,3wBmMTpwM55vGjWxrmsSEP,[✓] Domain Strategy Research: o-n-e Extensions for Umbrella Brand,,2026-03-07T00:27:56.417Z,2026-06-22T08:53:44.236Z,Pending,,,
manus_9E331Qu0zPcaWlIfL50KJW,Manus,9E331Qu0zPcaWlIfL50KJW,[✓] Building Odyssey Web App: Manus vs Claude Opus Performance Showdown,BvaDD4T2s54TsyQCiJo8Xw,2026-03-30T22:29:28.870Z,2026-06-22T08:53:37.536Z,Pending,,,
manus_pArebdvJ37SGgvbbV6b2gr,Manus,pArebdvJ37SGgvbbV6b2gr,[✓] yOS v1 Complete Build & Website Launch,,2026-03-07T00:14:09.670Z,2026-06-22T08:53:22.839Z,Pending,,,
manus_uLWouD3ZmuPhjnq5x9pv7x,Manus,uLWouD3ZmuPhjnq5x9pv7x,[✓] iOS Browser Extension Prompt Issue - Product Feedback Request,,2026-02-20T12:40:00.897Z,2026-06-22T08:52:57.464Z,Pending,,,
manus_oTUmbMW66scKL6VBzyHRBB,Manus,oTUmbMW66scKL6VBzyHRBB,[✓] Setting up Automated Development Skill for Complex Coding Tasks,,2026-03-30T04:52:23.684Z,2026-06-22T08:52:20.142Z,Pending,,,
manus_x83dT6fYMrCcbA22nk2xoU,Manus,x83dT6fYMrCcbA22nk2xoU,[✓] Optimizing API Access and Resource Management Architecture,,2026-03-03T08:56:05.841Z,2026-06-22T08:52:10.327Z,Pending,,,
manus_lMztvgu67W1kF6KjuyVgna,Manus,lMztvgu67W1kF6KjuyVgna,[✓] Creating Context Injection Skill (@ctx) for Project Development,,2026-03-30T05:14:47.107Z,2026-06-22T08:51:44.250Z,Pending,,,
manus_6V4cCKQoKVTkkApzrqHqi4,Manus,6V4cCKQoKVTkkApzrqHqi4,[✓] VoixItalia: French-to-Italian voice translation app with emotional fidelity,,2026-03-10T18:44:20.062Z,2026-06-22T08:50:46.034Z,Pending,,,
