Global_UID,Source,Source_ID,Title,Project_ID,Created_At,Updated_At,Archive_Status,Archive_Link,Topic_Summary,Project_Tag,curated_239_member,curated_curated_row,curated_title,curated_batch_id,curated_provisional_category,curated_project_tags,curated_primary_project,curated_related_projects,curated_relation_to_yos,curated_classification_confidence,curated_main_subject,curated_raw_preservation_status,curated_verbatim_preservation_status,curated_fact_sheet_status,curated_open_tasks_status,curated_issues_status,curated_decisions_status,curated_artifact_links_status,curated_commit_verification_status,curated_canon_status,curated_crosswalk_relationship,curated_crosswalk_review_status,curated_crosswalk_match_method,canon_promoted
chatgpt_6a67d86b-fdac-83eb-a00b-2df3f24622a8,ChatGPT,6a67d86b-fdac-83eb-a00b-2df3f24622a8,Exécution séquence GitHub,,2026-07-27 22:15:14,2026-07-28 21:16:15,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a67e4b9-9254-83eb-bd7c-4fa481bfb111,ChatGPT,6a67e4b9-9254-83eb-bd7c-4fa481bfb111,Vérification d'intégration Git,,2026-07-27 23:07:42,2026-07-28 21:16:07,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a67ea56-fcec-83eb-ba0a-b54444748861,ChatGPT,6a67ea56-fcec-83eb-ba0a-b54444748861,Opération Git Offline Queue,,2026-07-27 23:31:41,2026-07-28 21:16:00,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a67e6b7-e068-83eb-ba22-4a2291be24a7,ChatGPT,6a67e6b7-e068-83eb-ba22-4a2291be24a7,Opération GitHub intégrale,,2026-07-27 23:16:12,2026-07-28 21:15:53,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a67f1d5-0a3c-83ed-b4ff-26f17a1cc2dc,ChatGPT,6a67f1d5-0a3c-83ed-b4ff-26f17a1cc2dc,GitHub Queue Management,,2026-07-28 00:03:38,2026-07-28 21:15:49,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a5de469-7390-83eb-b069-71e5ab5b7041,ChatGPT,6a5de469-7390-83eb-b069-71e5ab5b7041,(Omega Notion Takeout Day Shift,,2026-07-20 09:03:38,2026-07-28 21:15:11,Pending,,,,True,10,Omega Notion Takeout Day Shift,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; KAP — Knowledge Architecture Program; ŒUVRE / OMEGA / COC Control Plane,yOS / YOUniverse Core,KAP — Knowledge Architecture Program; ŒUVRE / OMEGA / COC Control Plane,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5e47d4-ece4-83ed-ac78-9c71e5bef49a,ChatGPT,6a5e47d4-ece4-83ed-ac78-9c71e5bef49a,(OMEGA audit converged with key gaps remaining,,2026-07-20 16:07:50,2026-07-28 21:15:06,Pending,,,,True,4,OMEGA audit converged with key gaps remaining,BATCH-01,Other / requires semantic review,KAP — Knowledge Architecture Program; ŒUVRE / OMEGA / COC Control Plane,KAP — Knowledge Architecture Program,ŒUVRE / OMEGA / COC Control Plane,core,medium,KAP — Knowledge Architecture Program,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a524832-92ac-83eb-9a6d-c144bcfaf439,ChatGPT,6a524832-92ac-83eb-9a6d-c144bcfaf439,--- ARCHI FINALE YOS ---,,2026-07-11 13:43:16,2026-07-28 21:14:48,Pending,,,,True,33,--- ARCHI FINALE YOS ---,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core,yOS / YOUniverse Core,,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a67f118-9e6c-83eb-814c-c72a0e1c4e08,ChatGPT,6a67f118-9e6c-83eb-814c-c72a0e1c4e08,Vérification Key Document Git,,2026-07-28 00:00:27,2026-07-28 21:14:38,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a561560-2318-83ed-95df-fe9fe381af31,ChatGPT,6a561560-2318-83ed-95df-fe9fe381af31,# PILOT/CONTROL Process & Cokpit ---,,2026-07-14 10:54:39,2026-07-28 21:14:06,Pending,,,,True,11,# PILOT/CONTROL Process & Cokpit ---,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; ŒUVRE / OMEGA / COC Control Plane,yOS / YOUniverse Core,ŒUVRE / OMEGA / COC Control Plane,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5d690b-3cec-83ed-884c-98a383712258,ChatGPT,6a5d690b-3cec-83ed-884c-98a383712258,Nightly hardening validated with 15 tests passing,,2026-07-20 00:17:18,2026-07-28 21:13:59,Pending,,,,True,16,Nightly hardening validated with 15 tests passing,BATCH-01,Other / requires semantic review,yOS Automation & Execution Layer,yOS Automation & Execution Layer,,enabling_infrastructure,medium,yOS Automation & Execution Layer,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a57a344-23fc-83eb-bfb6-a109873a1305,ChatGPT,6a57a344-23fc-83eb-bfb6-a109873a1305,-O- Atlas Chroniques Consolidation-,,2026-07-15 15:12:30,2026-07-28 21:13:53,Pending,,,,True,21,-O- Atlas Chroniques Consolidation-,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; KAP — Knowledge Architecture Program; ŒUVRE / OMEGA / COC Control Plane,yOS / YOUniverse Core,KAP — Knowledge Architecture Program; ŒUVRE / OMEGA / COC Control Plane,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5d6506-f578-83eb-9baa-6fc6a6e9daf0,ChatGPT,6a5d6506-f578-83eb-9baa-6fc6a6e9daf0,MAP WAVE 001 artifacts prepared,,2026-07-20 00:00:08,2026-07-28 21:13:45,Pending,,,,True,23,MAP WAVE 001 artifacts prepared,BATCH-01,Other / requires semantic review,yOS Automation & Execution Layer; MissionOS,yOS Automation & Execution Layer,MissionOS,enabling_infrastructure,medium,yOS Automation & Execution Layer,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a4387f8-2fac-83ed-9872-6852a452f623,ChatGPT,6a4387f8-2fac-83ed-9872-6852a452f623,### OMEGA - ŒUVRE  Control Tower --,,2026-06-30 09:12:21,2026-07-28 21:12:58,Pending,,,,True,19,### OMEGA - ŒUVRE  Control Tower --,BATCH-01,Spirituality / wisdom / sacred publishing,ŒUVRE / OMEGA / COC Control Plane,ŒUVRE / OMEGA / COC Control Plane,,core,medium,ŒUVRE / OMEGA / COC Control Plane,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a21fdad-1768-8333-8703-cbef860800da,ChatGPT,6a21fdad-1768-8333-8703-cbef860800da,ARCHI CIVI (et mem0),,2026-06-04 22:37:15,2026-07-28 21:09:16,Pending,,,,True,86,ARCHI CIVI (et mem0),BATCH-02,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core,yOS / YOUniverse Core,,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a68a578-e2f8-83eb-8bfb-9ebdac0306d5,ChatGPT,6a68a578-e2f8-83eb-8bfb-9ebdac0306d5,Image traduite en italien,,2026-07-28 12:50:03,2026-07-28 12:55:52,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a680340-1b5c-83eb-8248-c9de8591595c,ChatGPT,6a680340-1b5c-83eb-8248-c9de8591595c,Compendium des connaissances utilisateur,,2026-07-28 01:17:54,2026-07-28 03:12:42,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a65afd3-ddec-83ed-ae6d-3b5f06739502,ChatGPT,6a65afd3-ddec-83ed-ae6d-3b5f06739502,Festival Cor des Alpes,,2026-07-26 06:57:41,2026-07-27 10:18:57,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a65ad00-ee98-83eb-8e6a-50118081db50,ChatGPT,6a65ad00-ee98-83eb-8e6a-50118081db50,WhatsApp Car Audio Watch,,2026-07-26 06:46:26,2026-07-27 07:04:27,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a65d269-9f28-83eb-bd0c-38e1868f6666,ChatGPT,6a65d269-9f28-83eb-bd0c-38e1868f6666,Monitorer WhatsApp Mac,,2026-07-26 09:25:15,2026-07-26 10:44:30,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a65cb20-6270-83eb-b386-5a118dff6bfa,ChatGPT,6a65cb20-6270-83eb-b386-5a118dff6bfa,Test de communication,,2026-07-26 08:54:05,2026-07-26 08:54:07,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a653d5a-0404-83eb-bf04-0c1ec5014c00,ChatGPT,6a653d5a-0404-83eb-bf04-0c1ec5014c00,Gestionnaire de contextes Mac,,2026-07-25 22:49:02,2026-07-25 22:55:20,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a65022f-6f10-83eb-9051-cfd5ad0ca164,ChatGPT,6a65022f-6f10-83eb-9051-cfd5ad0ca164,Cartes De Suisse,,2026-07-25 18:36:58,2026-07-25 22:03:09,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a631037-a930-83ed-a519-8282acacf5ff,ChatGPT,6a631037-a930-83ed-a519-8282acacf5ff,Galaxy Z Fold,,2026-07-24 07:11:57,2026-07-25 12:45:30,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a5e6fd5-5784-83ed-b3d2-d6a26689d44e,ChatGPT,6a5e6fd5-5784-83ed-b3d2-d6a26689d44e,WhatsApp Export and LLM Access,,2026-07-20 18:58:35,2026-07-24 19:41:48,Pending,,,,True,2,WhatsApp Export and LLM Access,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; WhatsApp Knowledge Ingestion,yOS / YOUniverse Core,WhatsApp Knowledge Ingestion,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a634c11-37ec-83eb-9d35-437a1a016a2c,ChatGPT,6a634c11-37ec-83eb-9d35-437a1a016a2c,Extension collerette plastique,,2026-07-24 11:27:48,2026-07-24 12:52:57,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a60e1d8-2ff8-83eb-a39c-13fd7e6f0ad4,ChatGPT,6a60e1d8-2ff8-83eb-a39c-13fd7e6f0ad4,Document Summary Assistance,,2026-07-22 15:29:34,2026-07-22 15:29:46,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a5f8f44-b584-83eb-b0d3-ea5ba0dca516,ChatGPT,6a5f8f44-b584-83eb-b0d3-ea5ba0dca516,swarm,,2026-07-21 15:25:00,2026-07-22 00:20:07,Pending,,,,False,,,,,,,,,,,,,,,,,,,,,,,False
chatgpt_6a5d5957-bd80-83eb-905c-986ec2a0190a,ChatGPT,6a5d5957-bd80-83eb-905c-986ec2a0190a,OMEGA Audit Long Run,,2026-07-19 23:10:26,2026-07-20 16:07:51,Pending,,,,True,3,OMEGA Audit Long Run,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; KAP — Knowledge Architecture Program; ŒUVRE / OMEGA / COC Control Plane,yOS / YOUniverse Core,KAP — Knowledge Architecture Program; ŒUVRE / OMEGA / COC Control Plane,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5e4649-f5ec-83ed-bf66-8adaf44adabc,ChatGPT,6a5e4649-f5ec-83ed-bf66-8adaf44adabc,Run the corrected crawler to unblock MAP WAVE 001,,2026-07-20 16:01:15,2026-07-20 16:01:15,Pending,,,,True,5,Run the corrected crawler to unblock MAP WAVE 001,BATCH-01,Creative systems / storytelling / games,yOS Automation & Execution Layer; MissionOS,yOS Automation & Execution Layer,MissionOS,enabling_infrastructure,medium,yOS Automation & Execution Layer,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5e463d-cba8-83ed-801d-1e0ecfbe2b31,ChatGPT,6a5e463d-cba8-83ed-801d-1e0ecfbe2b31,Audit final non clôturé avec lacunes bloquantes,,2026-07-20 16:01:12,2026-07-20 16:01:12,Pending,,,,True,6,Audit final non clôturé avec lacunes bloquantes,BATCH-01,Other / requires semantic review,ŒUVRE / OMEGA / COC Control Plane,ŒUVRE / OMEGA / COC Control Plane,,core,medium,ŒUVRE / OMEGA / COC Control Plane,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5e2f9d-f728-83eb-9c58-f5503602e13b,ChatGPT,6a5e2f9d-f728-83eb-9c58-f5503602e13b,Omega Notion Takeout Final Sprint,,2026-07-20 14:24:32,2026-07-20 14:24:32,Pending,,,,True,7,Omega Notion Takeout Final Sprint,BATCH-01,Other / requires semantic review,KAP — Knowledge Architecture Program; ŒUVRE / OMEGA / COC Control Plane,KAP — Knowledge Architecture Program,ŒUVRE / OMEGA / COC Control Plane,core,medium,KAP — Knowledge Architecture Program,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5697e1-1898-83eb-a906-415b6562a992,ChatGPT,6a5697e1-1898-83eb-a906-415b6562a992,Clôture Notion Takeout,,2026-07-14 20:12:29,2026-07-20 13:50:12,Pending,,,,True,8,Clôture Notion Takeout,BATCH-01,Civilization / futures / education / society,KAP — Knowledge Architecture Program,KAP — Knowledge Architecture Program,,core,medium,KAP — Knowledge Architecture Program,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5de6ee-6dbc-83ed-afe0-62af72592ec8,ChatGPT,6a5de6ee-6dbc-83ed-afe0-62af72592ec8,cleanup sessions ChatGPT,,2026-07-20 09:14:28,2026-07-20 13:49:53,Pending,,,,True,9,cleanup sessions ChatGPT,BATCH-01,Other / requires semantic review,KAP — Knowledge Architecture Program,KAP — Knowledge Architecture Program,,core,medium,KAP — Knowledge Architecture Program,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5c405f-9580-83eb-9e8e-de8f59e1338e,ChatGPT,6a5c405f-9580-83eb-9e8e-de8f59e1338e,Continuity Handoff Watch,,2026-07-19 03:11:35,2026-07-20 09:05:58,Pending,,,,True,13,Continuity Handoff Watch,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; ŒUVRE / OMEGA / COC Control Plane; CasaTAO / Anandaz Spatial Digital Twin,yOS / YOUniverse Core,ŒUVRE / OMEGA / COC Control Plane; CasaTAO / Anandaz Spatial Digital Twin,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5dd2f3-628c-83eb-9e6e-e5a3645951e7,ChatGPT,6a5dd2f3-628c-83eb-9e6e-e5a3645951e7,GitHub Action Request,,2026-07-20 07:49:11,2026-07-20 08:49:25,Pending,,,,True,15,GitHub Action Request,BATCH-01,Other / requires semantic review,yOS Automation & Execution Layer,yOS Automation & Execution Layer,,enabling_infrastructure,medium,yOS Automation & Execution Layer,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5dd95a-25e8-83eb-ab4a-995641ebaa75,ChatGPT,6a5dd95a-25e8-83eb-ab4a-995641ebaa75,Validate crawl evidence first,,2026-07-20 08:16:27,2026-07-20 08:16:27,Pending,,,,True,17,Validate crawl evidence first,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; yOS Automation & Execution Layer; MissionOS,yOS / YOUniverse Core,yOS Automation & Execution Layer; MissionOS,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a55744e-07ac-83eb-b1bc-a1bbe0861841,ChatGPT,6a55744e-07ac-83eb-b1bc-a1bbe0861841,ORBIT Merge Block,,2026-07-13 23:27:20,2026-07-20 07:58:47,Pending,,,,True,20,ORBIT Merge Block,BATCH-01,yOS / YOUniverse / AI architecture & memory,yOS / YOUniverse Core; ŒUVRE / OMEGA / COC Control Plane,yOS / YOUniverse Core,ŒUVRE / OMEGA / COC Control Plane,core,medium,yOS / YOUniverse Core,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
chatgpt_6a5dc79b-c0f0-83ed-a00b-db46de3e59dc,ChatGPT,6a5dc79b-c0f0-83ed-a00b-db46de3e59dc,Release 1 ready for staging with OAuth blocker,,2026-07-20 07:00:47,2026-07-20 07:00:47,Pending,,,,True,24,Release 1 ready for staging with OAuth blocker,BATCH-01,Business / finance / administration,Business / Finance Operations,Business / Finance Operations,,unknown,medium,Business / Finance Operations,preserved,preserved_json_and_markdown,pending,pending_extraction,pending_extraction,pending_extraction,pending_reconciliation,pending,not_assessed,same_native_conversation,verified_exact,uuid_exact,False
