curated_row,title,curated_uuid_original,resolved_uuid,candidate_uuid,relationship,match_method,match_confidence,review_status,candidate_count,curated_created_at,ledger_created_at,created_delta_seconds,curated_updated_at,ledger_updated_at,updated_delta_seconds,ledger_title,ledger_global_uid,baseline_batch_id,baseline_primary_project,baseline_provisional_category,baseline_fact_sheet_status,baseline_verbatim_preservation_status,canon_promoted
11,,6a561560-2318-83ed-95df-fe9fe381af31,6a561560-2318-83ed-95df-fe9fe381af31,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-14 10:54:39,,,2026-07-28 21:14:06,,# PILOT/CONTROL Process & Cokpit ---,chatgpt_6a561560-2318-83ed-95df-fe9fe381af31,,,,,,False
12,,6a5de61f-9594-83eb-912e-979547fd8a49,6a5de61f-9594-83eb-912e-979547fd8a49,,unresolved,uuid_absent_from_ledger,0.0,unresolved,0,,,,,,,,,,,,,,False
13,,6a5c405f-9580-83eb-9e8e-de8f59e1338e,6a5c405f-9580-83eb-9e8e-de8f59e1338e,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-19 03:11:35,,,2026-07-20 09:05:58,,Continuity Handoff Watch,chatgpt_6a5c405f-9580-83eb-9e8e-de8f59e1338e,,,,,,False
14,,6a57a3ac-17d0-83ed-ae89-f55eeeba3afd,6a57a3ac-17d0-83ed-ae89-f55eeeba3afd,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-15 15:14:01,,,2026-07-28 21:50:28,,Omega Wake-up Audit,chatgpt_6a57a3ac-17d0-83ed-ae89-f55eeeba3afd,,,,,,False
15,,6a5dd2f3-628c-83eb-9e6e-e5a3645951e7,6a5dd2f3-628c-83eb-9e6e-e5a3645951e7,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 07:49:11,,,2026-07-20 08:49:25,,GitHub Action Request,chatgpt_6a5dd2f3-628c-83eb-9e6e-e5a3645951e7,,,,,,False
16,,6a5d690b-3cec-83ed-884c-98a383712258,6a5d690b-3cec-83ed-884c-98a383712258,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 00:17:18,,,2026-07-28 21:13:59,,Nightly hardening validated with 15 tests passing,chatgpt_6a5d690b-3cec-83ed-884c-98a383712258,,,,,,False
17,,6a5dd95a-25e8-83eb-ab4a-995641ebaa75,6a5dd95a-25e8-83eb-ab4a-995641ebaa75,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 08:16:27,,,2026-07-20 08:16:27,,Validate crawl evidence first,chatgpt_6a5dd95a-25e8-83eb-ab4a-995641ebaa75,,,,,,False
18,--GARDEN--,,6a5aa6e9-2828-83eb-b29b-33f1f40f985a,,same_native_conversation,title_created_exact,0.995,verified_recovered,1,2026-07-17T22:05:09.741Z,2026-07-17 22:05:09,0.741,2026-07-20T08:08:31.192Z,2026-07-28 21:27:53,739161.808,--GARDEN--,chatgpt_6a5aa6e9-2828-83eb-b29b-33f1f40f985a,BATCH-01,,,,,False
19,,6a4387f8-2fac-83ed-9872-6852a452f623,6a4387f8-2fac-83ed-9872-6852a452f623,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-06-30 09:12:21,,,2026-07-28 21:12:58,,### OMEGA - ŒUVRE  Control Tower --,chatgpt_6a4387f8-2fac-83ed-9872-6852a452f623,,,,,,False
20,,6a55744e-07ac-83eb-b1bc-a1bbe0861841,6a55744e-07ac-83eb-b1bc-a1bbe0861841,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-13 23:27:20,,,2026-07-20 07:58:47,,ORBIT Merge Block,chatgpt_6a55744e-07ac-83eb-b1bc-a1bbe0861841,,,,,,False
21,,6a57a344-23fc-83eb-bfb6-a109873a1305,6a57a344-23fc-83eb-bfb6-a109873a1305,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-15 15:12:30,,,2026-07-28 21:13:53,,-O- Atlas Chroniques Consolidation-,chatgpt_6a57a344-23fc-83eb-bfb6-a109873a1305,,,,,,False
22,,6a13fc9e-41fc-838e-a14b-cddfb39239e5,6a13fc9e-41fc-838e-a14b-cddfb39239e5,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-05-25 07:39:11,,,2026-07-29 21:53:17,,🚀 MISSION CONTROL 🚀,chatgpt_6a13fc9e-41fc-838e-a14b-cddfb39239e5,,,,,,False
23,,6a5d6506-f578-83eb-9baa-6fc6a6e9daf0,6a5d6506-f578-83eb-9baa-6fc6a6e9daf0,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 00:00:08,,,2026-07-28 21:13:45,,MAP WAVE 001 artifacts prepared,chatgpt_6a5d6506-f578-83eb-9baa-6fc6a6e9daf0,,,,,,False
24,,6a5dc79b-c0f0-83ed-a00b-db46de3e59dc,6a5dc79b-c0f0-83ed-a00b-db46de3e59dc,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 07:00:47,,,2026-07-20 07:00:47,,Release 1 ready for staging with OAuth blocker,chatgpt_6a5dc79b-c0f0-83ed-a00b-db46de3e59dc,,,,,,False
25,,6a1d4631-535c-8326-a09d-87dc79b52f23,6a1d4631-535c-8326-a09d-87dc79b52f23,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-06-01 08:44:03,,,2026-07-20 07:00:17,,NIGHT crypto growth analysis,chatgpt_6a1d4631-535c-8326-a09d-87dc79b52f23,,,,,,False
26,,6a5dc559-8a34-83eb-b713-9683b549f273,6a5dc559-8a34-83eb-b713-9683b549f273,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 06:51:12,,,2026-07-20 06:51:12,,Package OMEGA v0.7 prêt pour checkpoint,chatgpt_6a5dc559-8a34-83eb-b713-9683b549f273,,,,,,False
27,,6a5dbad5-c3b4-83eb-9d39-6afbaa8a7f3f,6a5dbad5-c3b4-83eb-9d39-6afbaa8a7f3f,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-20 06:06:14,,,2026-07-20 06:06:14,,Récupérer le crawl Manus pour débloquer MAP-WAVE-001,chatgpt_6a5dbad5-c3b4-83eb-9d39-6afbaa8a7f3f,,,,,,False
28,,6a5c3940-7e88-83eb-ad05-5a555d3d01c3,6a5c3940-7e88-83eb-ad05-5a555d3d01c3,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-19 02:41:08,,,2026-07-19 08:29:40,,Connecter LLM à pCloud,chatgpt_6a5c3940-7e88-83eb-ad05-5a555d3d01c3,,,,,,False
29,,6a5b1287-6424-83ed-9238-6bba6a60302d,6a5b1287-6424-83ed-9238-6bba6a60302d,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-18 05:44:02,,,2026-07-18 09:27:51,,ARIANE - Visual Memory Studio (VMS),chatgpt_6a5b1287-6424-83ed-9238-6bba6a60302d,,,,,,False
30,,6a5ac0db-700c-83eb-a585-8a2e8dbdca01,6a5ac0db-700c-83eb-a585-8a2e8dbdca01,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-17 23:55:32,,,2026-07-18 05:43:41,,Skill Goodnight création,chatgpt_6a5ac0db-700c-83eb-a585-8a2e8dbdca01,,,,,,False
31,,6a57a564-a6c0-83eb-b7f0-e99348244915,6a57a564-a6c0-83eb-b7f0-e99348244915,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-15 15:21:23,,,2026-07-28 21:50:05,,-O- Généalogie de l'Œuvre,chatgpt_6a57a564-a6c0-83eb-b7f0-e99348244915,,,,,,False
32,,6a4506ef-2d68-83ed-8fe5-b2cc357bff0c,6a4506ef-2d68-83ed-8fe5-b2cc357bff0c,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-01 12:24:19,,,2026-07-28 22:25:20,,(KAP Phase 1 Introduction),chatgpt_6a4506ef-2d68-83ed-8fe5-b2cc357bff0c,,,,,,False
33,,6a524832-92ac-83eb-9a6d-c144bcfaf439,6a524832-92ac-83eb-9a6d-c144bcfaf439,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-11 13:43:16,,,2026-07-28 21:14:48,,--- ARCHI FINALE YOS ---,chatgpt_6a524832-92ac-83eb-9a6d-c144bcfaf439,,,,,,False
34,,6a467b9d-3ae8-83eb-976a-bda4bfc90e76,6a467b9d-3ae8-83eb-976a-bda4bfc90e76,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-02 14:54:51,,,2026-07-28 22:25:06,,(KAP PROCESS),chatgpt_6a467b9d-3ae8-83eb-976a-bda4bfc90e76,,,,,,False
35,,6a593d15-4a7c-83eb-a172-0cbe3c570f13,6a593d15-4a7c-83eb-a172-0cbe3c570f13,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 20:21:13,,,2026-07-16 20:23:10,,Dashboard rattrapage emails,chatgpt_6a593d15-4a7c-83eb-a172-0cbe3c570f13,,,,,,False
36,,6a58ed47-a550-83eb-ab11-d26dd453ae4b,6a58ed47-a550-83eb-ab11-d26dd453ae4b,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:40:18,,,2026-07-16 17:02:18,,#MAIN — CREATIVE WORLDS(World Governance & Coordination),chatgpt_6a58ed47-a550-83eb-ab11-d26dd453ae4b,,,,,,False
37,,6a58ed91-59b0-83eb-816e-10e47c27dc16,6a58ed91-59b0-83eb-816e-10e47c27dc16,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:41:33,,,2026-07-16 14:49:16,,#MAIN — LIFE OS(World Governance & Coordination),chatgpt_6a58ed91-59b0-83eb-816e-10e47c27dc16,,,,,,False
38,,6a58edd1-783c-83eb-b873-4027604a16f5,6a58edd1-783c-83eb-b873-4027604a16f5,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:42:28,,,2026-07-16 14:48:36,,"SYSTEM — LIFE OS (Places, Devices & Operations)",chatgpt_6a58edd1-783c-83eb-b873-4027604a16f5,,,,,,False
39,,6a590f42-dd00-83eb-802d-46151bcbc8c0,6a590f42-dd00-83eb-802d-46151bcbc8c0,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 17:05:16,,,2026-07-16 17:07:39,,Canon créatif universel,chatgpt_6a590f42-dd00-83eb-802d-46151bcbc8c0,,,,,,False
40,,6a58ee9d-1574-83eb-9106-61ac8342d0cd,6a58ee9d-1574-83eb-9106-61ac8342d0cd,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:45:57,,,2026-07-16 14:47:46,,Canon identité voix publique,chatgpt_6a58ee9d-1574-83eb-9106-61ac8342d0cd,,,,,,False
41,,6a58ee2a-77c8-83ed-b3bf-f7b6f666705f,6a58ee2a-77c8-83ed-b3bf-f7b6f666705f,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:44:02,,,2026-07-16 14:47:33,,#MAIN — YANNICK (World Governance & Coordination),chatgpt_6a58ee2a-77c8-83ed-b3bf-f7b6f666705f,,,,,,False
42,,6a58ecce-0f74-83ed-a0d4-c023be2bc8c5,6a58ecce-0f74-83ed-a0d4-c023be2bc8c5,,unresolved,uuid_absent_from_ledger,0.0,unresolved,0,,,,,,,,,,,,,,False
43,,6a58e3b8-791c-83eb-81e2-20377ea0da5e,6a58e3b8-791c-83eb-81e2-20377ea0da5e,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:59:34,,,2026-07-16 14:40:57,,CANON — KOSMOS (Axioms & Vocabulary),chatgpt_6a58e3b8-791c-83eb-81e2-20377ea0da5e,,,,,,False
44,,6a58e360-e7f4-83ed-85dc-ba74e7d99f10,6a58e360-e7f4-83ed-85dc-ba74e7d99f10,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:58:24,,,2026-07-16 14:40:45,,#MAIN — KOSMOS (World Governance & Coordination),chatgpt_6a58e360-e7f4-83ed-85dc-ba74e7d99f10,,,,,,False
45,,6a58e58d-2f6c-83eb-8765-d59afac92a61,6a58e58d-2f6c-83eb-8765-d59afac92a61,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:07:24,,,2026-07-16 14:40:27,,#MAIN — yOS (World Governance & Coordination),chatgpt_6a58e58d-2f6c-83eb-8765-d59afac92a61,,,,,,False
46,,6a58e4ad-1b84-83ed-9bd3-084076100770,6a58e4ad-1b84-83ed-9bd3-084076100770,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:03:40,,,2026-07-16 14:39:23,,#MAIN — CIVILIZATION (World Governance & Coordination),chatgpt_6a58e4ad-1b84-83ed-9bd3-084076100770,,,,,,False
47,,6a58e62a-6c5c-83ed-9d18-5e001bdbe1c1,6a58e62a-6c5c-83ed-9d18-5e001bdbe1c1,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:09:55,,,2026-07-16 14:38:34,,CANON — yOS (Architecture & Decisions),chatgpt_6a58e62a-6c5c-83ed-9d18-5e001bdbe1c1,,,,,,False
48,,6a58e21d-6ce4-83eb-ba45-ccd369a1620c,6a58e21d-6ce4-83eb-ba45-ccd369a1620c,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:53:04,,,2026-07-16 14:27:28,,#MAP — ŒUVRE (Cathedral Map & Program Registry),chatgpt_6a58e21d-6ce4-83eb-ba45-ccd369a1620c,,,,,,False
49,,6a58e25b-f724-83eb-b54b-51b61f5ceef0,6a58e25b-f724-83eb-b54b-51b61f5ceef0,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:53:51,,,2026-07-16 14:25:17,,"#CANON — ŒUVRE (Decisions, Axioms & Vocabulary)",chatgpt_6a58e25b-f724-83eb-b54b-51b61f5ceef0,,,,,,False
50,,6a58e047-cb74-83eb-a186-48d1ed0e5cd2,6a58e047-cb74-83eb-a186-48d1ed0e5cd2,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:45:13,,,2026-07-16 14:25:13,,#TEAM — COC  (Agent Organization & Autonomy),chatgpt_6a58e047-cb74-83eb-a186-48d1ed0e5cd2,,,,,,False
51,,6a58e10f-041c-83eb-a28e-77e75ba88746,6a58e10f-041c-83eb-a28e-77e75ba88746,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:48:18,,,2026-07-16 14:24:39,,#OIM — COC (Operational Intelligence Maps),chatgpt_6a58e10f-041c-83eb-a28e-77e75ba88746,,,,,,False
52,,6a58e2e3-79ac-83eb-b94f-127235ad6466,6a58e2e3-79ac-83eb-b94f-127235ad6466,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:56:14,,,2026-07-16 14:23:53,,#MANIFESTATION — ŒUVRE (Deployment of the Cathedral),chatgpt_6a58e2e3-79ac-83eb-b94f-127235ad6466,,,,,,False
53,,6a58e2b7-e6c4-83eb-9452-fef2903d0f61,6a58e2b7-e6c4-83eb-9452-fef2903d0f61,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:55:22,,,2026-07-16 14:23:31,,#CHRONICLES — ŒUVRE (Genesis & Evolution),chatgpt_6a58e2b7-e6c4-83eb-9452-fef2903d0f61,,,,,,False
54,,6a58e167-7610-83ed-a59d-145e56c9861c,6a58e167-7610-83ed-a59d-145e56c9861c,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:49:48,,,2026-07-16 14:23:12,,#SYSTEM — COC (Automation & Source Health),chatgpt_6a58e167-7610-83ed-a59d-145e56c9861c,,,,,,False
55,,6a58e28d-8598-83eb-8bde-ddce8c324900,6a58e28d-8598-83eb-8bde-ddce8c324900,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:54:35,,,2026-07-16 14:23:07,,"#COHERENCE — ŒUVRE (Coherence, Gaps & Horizons)",chatgpt_6a58e28d-8598-83eb-8bde-ddce8c324900,,,,,,False
56,,6a58e1cd-5c30-83eb-93c9-2221ed3b2866,6a58e1cd-5c30-83eb-93c9-2221ed3b2866,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:51:51,,,2026-07-16 14:22:00,,#MAIN — ŒUVRE (Cathedral Observatory),chatgpt_6a58e1cd-5c30-83eb-93c9-2221ed3b2866,,,,,,False
57,,6a58dfb7-9c8c-83ed-87e9-efb6e73d687e,6a58dfb7-9c8c-83ed-87e9-efb6e73d687e,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:43:42,,,2026-07-16 14:21:27,,#MAIN — COC  (Live Cognitive Cockpit),chatgpt_6a58dfb7-9c8c-83ed-87e9-efb6e73d687e,,,,,,False
58,,6a58e5a9-2940-83ed-bacf-79919d0df37d,6a58e5a9-2940-83ed-bacf-79919d0df37d,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:07:50,,,2026-07-16 14:12:31,,PROG — KAP (Knowledge Architecture),chatgpt_6a58e5a9-2940-83ed-bacf-79919d0df37d,,,,,,False
59,,6a58e5df-1c88-83eb-8dfa-b10090adca4d,6a58e5df-1c88-83eb-8dfa-b10090adca4d,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:08:51,,,2026-07-16 14:11:04,,PROG — PIE (Visual Cognitive System),chatgpt_6a58e5df-1c88-83eb-8dfa-b10090adca4d,,,,,,False
60,,6a58e609-0334-83ed-8aa9-27044c540be1,6a58e609-0334-83ed-8aa9-27044c540be1,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:09:29,,,2026-07-16 14:10:47,,PROG — MissionOS (Mission & Expedition Engine),chatgpt_6a58e609-0334-83ed-8aa9-27044c540be1,,,,,,False
61,,6a58e50e-f9e4-83ed-9972-7d4ad02aa439,6a58e50e-f9e4-83ed-9972-7d4ad02aa439,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:05:19,,,2026-07-16 14:06:49,,PROG — HOPE (Emotional & Civilizational Intelligence),chatgpt_6a58e50e-f9e4-83ed-9972-7d4ad02aa439,,,,,,False
62,,6a58e52a-b0fc-83eb-abd7-aa3dde77c3af,6a58e52a-b0fc-83eb-abd7-aa3dde77c3af,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:05:38,,,2026-07-16 14:06:29,,PROG — NEW (Navigation for the Emerging World),chatgpt_6a58e52a-b0fc-83eb-abd7-aa3dde77c3af,,,,,,False
63,,6a58e4f6-8934-83eb-bde3-7ea263433cc4,6a58e4f6-8934-83eb-bde3-7ea263433cc4,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 14:04:50,,,2026-07-16 14:06:07,,PROG — ELYSIUM (Civilizational Architecture),chatgpt_6a58e4f6-8934-83eb-bde3-7ea263433cc4,,,,,,False
64,,6a58e391-cd70-83eb-ae79-b9d94b71e9fb,6a58e391-cd70-83eb-ae79-b9d94b71e9fb,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:58:56,,,2026-07-16 14:01:05,,PROG — Genesis 001 (Invisible Cathedral),chatgpt_6a58e391-cd70-83eb-ae79-b9d94b71e9fb,,,,,,False
65,,6a58e3a9-63a0-83ed-a061-f72de5620c0d,6a58e3a9-63a0-83ed-a061-f72de5620c0d,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:59:17,,,2026-07-16 14:01:17,,PROG — 4C (Foundational Ontology),chatgpt_6a58e3a9-63a0-83ed-a061-f72de5620c0d,,,,,,False
66,,6a58e103-55dc-83eb-a433-3134b85942a8,6a58e103-55dc-83eb-a433-3134b85942a8,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-16 13:48:06,,,2026-07-16 13:49:08,,"#OPS — COC (Missions, Gates & Exceptions)",chatgpt_6a58e103-55dc-83eb-a433-3134b85942a8,,,,,,False
67,,6a57c84c-691c-83eb-a924-0ce2ee5d9014,6a57c84c-691c-83eb-a924-0ce2ee5d9014,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-15 17:50:23,,,2026-07-15 17:58:31,,Œuvre Chroniques Couverture,chatgpt_6a57c84c-691c-83eb-a924-0ce2ee5d9014,,,,,,False
68,,6a5c9039-e4c0-83eb-ba73-f8510cf20aa0,6a5c9039-e4c0-83eb-ba73-f8510cf20aa0,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-19 08:52:14,,,2026-07-19 15:47:27,,Outils stabilité connexion,chatgpt_6a5c9039-e4c0-83eb-ba73-f8510cf20aa0,,,,,,False
69,,6a59d7f8-5fcc-83ed-9c97-0932e68020e9,6a59d7f8-5fcc-83ed-9c97-0932e68020e9,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-17 07:21:44,,,2026-07-17 17:50:19,,FAMILY CONNECT,chatgpt_6a59d7f8-5fcc-83ed-9c97-0932e68020e9,,,,,,False
70,,6a55044a-4d7c-83eb-a8a6-1ffd74118792,6a55044a-4d7c-83eb-a8a6-1ffd74118792,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-13 15:29:29,,,2026-07-13 15:29:53,,Problème lien expiré,chatgpt_6a55044a-4d7c-83eb-a8a6-1ffd74118792,,,,,,False
71,,6a54ef91-5764-83eb-af07-409e48c97586,6a54ef91-5764-83eb-af07-409e48c97586,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-13 14:01:06,,,2026-07-13 14:01:39,,Gestionnaire d'extensions Chrome,chatgpt_6a54ef91-5764-83eb-af07-409e48c97586,,,,,,False
72,,6a5357ca-fa2c-83eb-8134-d713f11a06f3,6a5357ca-fa2c-83eb-8134-d713f11a06f3,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-12 09:01:12,,,2026-07-12 09:04:17,,--- yOS Stream ---,chatgpt_6a5357ca-fa2c-83eb-8134-d713f11a06f3,,,,,,False
73,,6a53579a-7228-83ed-919f-dc6e8a54c107,6a53579a-7228-83ed-919f-dc6e8a54c107,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-12 09:00:41,,,2026-07-12 09:04:14,,--- KOSMOS stream ---,chatgpt_6a53579a-7228-83ed-919f-dc6e8a54c107,,,,,,False
74,,6a535807-ec50-83eb-8325-e976789b9ee4,6a535807-ec50-83eb-8325-e976789b9ee4,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-12 09:02:20,,,2026-07-12 09:04:09,,--- CHRONIQUES Stream ---,chatgpt_6a535807-ec50-83eb-8325-e976789b9ee4,,,,,,False
75,,6a526946-d264-83eb-b057-e125e4cb609a,6a526946-d264-83eb-b057-e125e4cb609a,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-11 16:03:26,,,2026-07-11 16:28:34,,Hardware Knowledge Graph,chatgpt_6a526946-d264-83eb-b057-e125e4cb609a,,,,,,False
76,,6a520154-124c-83eb-98ea-d6d91c9d37ae,6a520154-124c-83eb-98ea-d6d91c9d37ae,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-11 08:40:57,,,2026-07-11 08:41:07,,Pitch eYa amélioré,chatgpt_6a520154-124c-83eb-98ea-d6d91c9d37ae,,,,,,False
77,,6a4d45ff-c6f4-83eb-997b-de1eebbca175,6a4d45ff-c6f4-83eb-997b-de1eebbca175,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-07 18:31:35,,,2026-07-11 08:39:47,,Avatar vivant simplifié,chatgpt_6a4d45ff-c6f4-83eb-997b-de1eebbca175,,,,,,False
78,,6a4bd75f-1bc4-83eb-8f67-0f4d40dbb9e1,6a4bd75f-1bc4-83eb-8f67-0f4d40dbb9e1,,same_native_conversation,uuid_exact,1.0,verified_exact,1,,2026-07-06 16:27:44,,,2026-07-11 08:38:49,,-- eia app --,chatgpt_6a4bd75f-1bc4-83eb-8f67-0f4d40dbb9e1,,,,,,False
